WeightedParallelScore,AvgPVChange,AvgDistanceToMRT,Cluster
1.0000000000000002,1.0,0.30689715212280255,2
0.6093808510753165,0.2621998394103996,0.4640084041911985,4
0.4778992346558464,0.5317606151543322,0.3424511021136487,4
0.4237460498517702,0.031978914819579714,0.0,0
0.3436563164824402,0.12349770757793824,0.6073316811387914,4
0.22943835416791591,0.6055116940803287,0.459041938048244,1
0.16513714812671765,0.40143360443887377,0.7961829187663558,3
0.15502309891471655,0.12873051667714605,0.27661396971691055,0
0.1502324140241078,0.7882772174854178,0.562856377888941,1
0.14434790050434465,0.48882208606547817,0.7535728988517074,3
0.13510900151645955,0.3880173794695958,0.6871163778914413,3
0.1348999668662736,0.5233335597549269,0.5420015929589481,1
0.10249562036502735,0.6750815917353069,0.4684042593040334,1
0.09653866293105184,0.0,0.15198783959256534,0
0.07044761639227493,0.1918973491041025,0.4006500989229149,0
0.06605485925068666,0.1326957682489928,0.09297186708096516,0
0.030680655300103332,0.6166251285520723,0.9601579020850441,3
0.00872740378700776,0.5935712640439573,0.36668791572140824,1
0.0021914996059186898,0.7584630979557643,0.5402465443123878,1
0.0,0.3528866532341251,1.0,3
