ServiceNo,WeightedParallelScore,PVChange,AvgDistanceToMRT,Cluster
67,1.7922543701024711,-2.1607953049802515,0.7377424126659294,2
48,1.5130261248185777,-0.5916089802478993,0.7732329984535339,1
107,1.4190384615384617,-0.3810845282495172,0.7457738585084526,1
36,1.3803278688524587,1.3965508286933153,0.668415998663168,3
122,1.323076923076923,-0.8313229476381964,0.8056089549105212,5
170,1.2414299242424245,-0.4252218101893815,0.7721111004965943,5
2,1.1954651706404862,-0.15460663480271142,0.8482694325139875,5
63,1.188235294117647,-0.8206046586217636,0.7309016048374098,4
65,1.1848107448107448,-1.2730955873661118,0.7955622234088755,4
100,1.180604288499025,-0.7079674000338904,0.8386440584730879,5
24,1.174,-0.170273353172078,0.8236318882609933,5
80,1.1738505747126435,-0.2628410965861058,0.7908512397976079,5
851,1.150686813186813,-0.951365398085713,0.7742259984515482,4
111,1.1464285714285716,-1.571474712125298,0.7027492331624027,4
134,1.1277777777777775,-0.7605760267260363,0.7589206984821585,4
158,1.1246376811594203,-0.9032434793502263,0.6894178427770085,4
13,1.0993509615384616,-1.4147893632666717,0.8853104982293791,5
133,1.0836580086580088,-0.5631352936219655,0.751248824185576,4
147,1.0789859154929575,-0.9625999567359631,0.7904547837594048,4
40,1.07741935483871,-0.28601567324108484,0.8943106135959941,5
